question,answer
How many annual leave days are available?,Employees are entitled to 14 days of annual leave per year.
What is the sick leave policy?,Employees are entitled to 7 days of paid sick leave per year.
Can employees work from home?,Employees may work from home up to two days per week with manager approval.
What are the normal working hours?,Normal working hours are from 8:30 AM to 5:00 PM from Monday to Friday.
What is the probation period?,The standard probation period for new employees is six months.
How do I resign from the company?,Employees must submit a written resignation letter to their manager and HR department.
What is the notice period for resignation?,The standard resignation notice period is one month.
Is overtime available?,Overtime may be provided depending on business requirements and manager approval.
What is the company dress code?,Employees should wear professional or smart casual clothing unless otherwise specified by their department.
When is salary paid?,Employee salaries are normally paid on the last working day of each month.
Can I take unpaid leave?,Unpaid leave may be approved in special situations with approval from the employee's manager and HR department.
What is the maternity leave policy?,Eligible employees may receive maternity leave according to company policy and applicable employment regulations.
What is the paternity leave policy?,Eligible employees may receive paternity leave according to company policy and applicable employment regulations.
How can I apply for annual leave?,Employees should submit an annual leave request through the company's leave management system and obtain manager approval.
What happens if I am absent from work?,Employees should inform their manager as soon as possible and provide a valid reason for their absence.
Do employees receive health insurance?,Eligible full-time employees are provided with company health insurance benefits.
Are employees allowed to work on weekends?,Weekend work may be required depending on business needs and must be approved by the relevant manager.
Can I change my working hours?,Changes to working hours require approval from the employee's manager and HR department.
Are public holidays paid?,Eligible employees receive paid leave for recognized public holidays.
How can employees contact HR?,Employees can contact the HR department through the official company email or internal HR support system.
What should I do if I have a workplace complaint?,Employees should report workplace complaints to their manager or HR department for confidential review.
Can employees attend training programs?,Employees may participate in approved training and professional development programs.
Does the company provide performance reviews?,Employees normally receive periodic performance reviews from their manager.
Can I request an employment letter?,Employees may request employment confirmation letters from the HR department.
What happens when my probation period ends?,The employee's performance will be reviewed before confirmation of permanent employment.
